'96 Zenkoku Koukou Soccer Senshuken (Japan).zip | Japan | 820 KB
Gaia Saver - Hero Saidai no Sakusen (Japan).zip | Japan | 800 KB
Gakkou de Atta Kowai Hanashi (Japan) (Rev 1).zip | Japan | 2.4 MB
Gakkou de Atta Kowai Hanashi (Japan).zip | Japan | 2.4 MB
Galaxy Robo (Japan).zip | Japan | 835 KB
Galaxy Wars (Japan) (En).zip | Japan | 136 KB
Gamars Puzzle (Taiwan) (Unl).zip | 729 KB
Gambler Jiko Chuushinha - Mahjong Ooisen (Japan).zip | Japan | 326 KB
Gambler Jiko Chuushinha 2 - Dorapon Quest (Japan).zip | Japan | 715 KB
Gambling Hourouki (Japan).zip | Japan | 591 KB
Game Genie (USA) (Unl) (Alt).zip | USA | 21 KB
Game Genie (USA) (Unl).zip | USA | 21 KB
Game Genie (USA) (v2.0) (Unl).zip | USA | 21 KB
Game Saver (Europe) (v1.6) (Unl).zip | Europe | 11 KB
Game Saver (Europe) (v1.7) (Unl).zip | Europe | 10 KB
Game no Tatsujin (Japan).zip | Japan | 854 KB
Game no Tetsujin - The Shanghai (Japan).zip | Japan | 860 KB
Gamera - Gyaos Gekimetsu Sakusen (Japan).zip | Japan | 623 KB
Ganbare! Daiku no Gen-san (Japan).zip | Japan | 597 KB
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Beta) (1991-05-31).zip | Japan | 785 KB
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 1).zip | Japan | 837 KB
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 2) (Virtual Console).zip | Japan | 837 KB
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 2).zip | Japan | 837 KB
Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan).zip | Japan | 837 KB
Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (Japan) (Virtual Console).zip | Japan | 1.6 MB
Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (Japan).zip | Japan | 1.6 MB
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 1).zip | Japan | 1.5 MB
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 2) (Virtual Console).zip | Japan | 1.5 MB
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 2).zip | Japan | 1.5 MB
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Sample) (1994-10-24).zip | Japan | 1.5 MB
Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan).zip | Japan | 1.5 MB
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 1).zip | Japan | 2.1 MB
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 2).zip | Japan | 2.1 MB
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan).zip | Japan | 2.1 MB
Gangan Gan-chan (Japan).zip | Japan | 557 KB
Ganpuru - Gunman's Proof (Japan) (Beta).zip | Japan | 1.2 MB
Ganpuru - Gunman's Proof (Japan).zip | Japan | 1.2 MB
Ganso Pachi-Slot Nihonichi (Japan).zip | Japan | 647 KB
Ganso Pachinko Ou (Japan).zip | Japan | 792 KB
Gargoyles (USA) (Proto) (1994-07-19).zip | USA | 266 KB
Garou Densetsu - Shukumei no Tatakai (Japan) (Rev 1).zip | Japan | 1.1 MB
Garou Densetsu - Shukumei no Tatakai (Japan).zip | Japan | 1.1 MB
Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Rev 1).zip | Japan | 1.9 MB
Garou Densetsu 2 - Aratanaru Tatakai (Japan).zip | Japan | 1.9 MB
Garou Densetsu Special (Japan).zip | Japan | 2.9 MB
Garry Kitchen's Super Battletank (Europe).zip | Europe | 339 KB
Garry Kitchen's Super Battletank - War in the Gulf (USA) (Rev 1).zip | USA | 340 KB
Garry Kitchen's Super Battletank - War in the Gulf (USA).zip | USA | 339 KB
Gdleen (Japan) (Rev 1).zip | Japan | 730 KB
Gdleen (Japan).zip | Japan | 729 KB
Gegege no Kitarou - Fukkatsu! Tenma Daiou (Japan).zip | Japan | 890 KB
Gekitotsu Dangan Jidousha Kessen - Battle Mobile (Japan) (En).zip | Japan | 552 KB
Gekitou Burning Pro Wres (Japan).zip | Japan | 1.1 MB
Gemfire (USA).zip | USA | 586 KB
Genghis Khan II - Clan of the Gray Wolf (USA).zip | USA | 659 KB
Genjuu Ryodan (Japan) (NP).zip | Japan | 1.6 MB
Genocide 2 (Japan) (Beta).zip | Japan | 53 KB
Genocide 2 (Japan).zip | Japan | 1.1 MB
George Foreman's KO Boxing (Europe).zip | Europe | 753 KB
George Foreman's KO Boxing (USA) (Doritos Promo).zip | USA | 709 KB
George Foreman's KO Boxing (USA) (Rev 1).zip | USA | 753 KB
George Foreman's KO Boxing (USA).zip | USA | 753 KB
Gerry Anderson's Thunderbirds - Kokusai Kyuujotai Shutsudou Seyo!! (Japan).zip | Japan | 551 KB
Get in the Hole (Japan).zip | Japan | 912 KB
Getsumen no Anubis (Japan).zip | Japan | 2.0 MB
Ghost Chaser Densei (Japan).zip | Japan | 1.2 MB
Ghoul Patrol (Europe) (Beta).zip | Europe | 668 KB
Ghoul Patrol (Europe).zip | Europe | 668 KB
Ghoul Patrol (Japan).zip | Japan | 671 KB
Ghoul Patrol (USA).zip | USA | 664 KB
Gindama Oyakata no Pachinko Hisshouhou (Japan) (Rev 1).zip | Japan | 889 KB
Gindama Oyakata no Pachinko Hisshouhou (Japan).zip | Japan | 889 KB
Ginga Eiyuu Densetsu (Japan).zip | Japan | 410 KB
Ginga Sengoku Gunyuuden Rai (Japan).zip | Japan | 1.2 MB
Gionbana (Japan).zip | Japan | 508 KB
Go! Go! Dodge League (Japan) (Rev 1).zip | Japan | 247 KB
Go! Go! Dodge League (Japan).zip | Japan | 247 KB
Go Go Ackman (Japan).zip | Japan | 734 KB
Go Go Ackman 2 (Japan).zip | Japan | 938 KB
Go Go Ackman 3 (Japan).zip | Japan | 1.2 MB
Goal! (USA).zip | USA | 505 KB
Gods (Europe).zip | Europe | 579 KB
Gods (USA) (Beta).zip | USA | 553 KB
Gods (USA).zip | USA | 579 KB
Gojira - Kaijuu Daikessen (Japan) (Rev 1).zip | Japan | 1.6 MB
Gojira - Kaijuu Daikessen (Japan).zip | Japan | 1.6 MB
Gokinjo Boukentai (Japan).zip | Japan | 1.3 MB
Gokujou Parodius (Japan) (Beta 1) (1994-08-05).zip | Japan | 1.3 MB
Gokujou Parodius (Japan) (Beta 2).zip | Japan | 1.5 MB
Gokujou Parodius (Japan).zip | Japan | 1.5 MB
Gon (Japan) (En).zip | Japan | 620 KB
Goof Troop (Europe).zip | Europe | 337 KB
Goof Troop (France).zip | France | 337 KB
Goof Troop (Germany).zip | Germany | 337 KB
Goof Troop (USA).zip | USA | 337 KB
Goofy to Max - Kaizoku-jima no Daibouken (Japan).zip | Japan | 341 KB
Gouketsuji Ichizoku (Japan).zip | Japan | 1.6 MB
Gourmet Sentai Barayarou (Japan).zip | Japan | 1.1 MB
Gourmet Warriors (World) (Aftermarket) (Unl).zip | World | 1.1 MB
Gourmet Warriors (World) (QUByte Classics).zip | World | 1.1 MB
Gousou Jinrai Densetsu - Musha (Japan).zip | Japan | 449 KB
Gradius III (Japan) (En).zip | Japan | 423 KB
Gradius III (USA).zip | USA | 423 KB
Granhistoria - Genshi Sekaiki (Japan) (Rev 1).zip | Japan | 1.4 MB
Granhistoria - Genshi Sekaiki (Japan) (Sample).zip | Japan | 1.4 MB
Granhistoria - Genshi Sekaiki (Japan).zip | Japan | 1.4 MB
Great Battle Gaiden 2, The - Matsuri da Wasshoi (Japan) (Beta).zip | Japan | 825 KB
Great Battle Gaiden 2, The - Matsuri da Wasshoi (Japan).zip | Japan | 685 KB
Great Battle II, The - Last Fighter Twin (Japan).zip | Japan | 719 KB
Great Battle III, The (Japan).zip | Japan | 859 KB
Great Battle IV, The (Japan) (Beta).zip | Japan | 700 KB
Great Battle IV, The (Japan).zip | Japan | 1.1 MB
Great Battle V, The (Japan).zip | Japan | 1.1 MB
Great Circus Mystery Starring Mickey & Minnie, The (Europe).zip | Europe | 943 KB
Great Circus Mystery Starring Mickey & Minnie, The (USA).zip | USA | 943 KB
Great Waldo Search, The (USA).zip | USA | 270 KB
GunForce (Japan) (En).zip | Japan | 322 KB
GunForce (USA).zip | USA | 322 KB
GunForce - Battle Fire Engulfed Terror Island (Europe) (Proto).zip | Europe | 325 KB
Gunman Clive (World) (Demo) (Aftermarket) (Unl).zip | World | 43 KB
HAL's Hole in One Golf (Europe).zip | Europe | 610 KB
HAL's Hole in One Golf (USA).zip | USA | 715 KB
HD Retrovision Test Software (World) (v1.2) (Program) (Aftermarket) (Unl).zip | World | 4 KB
HD Retrovision Test Software (World) (v1.4) (Program) (Aftermarket) (Unl).zip | World | 5 KB
Habu Meijin no Omoshiro Shougi (Japan).zip | Japan | 553 KB
Hagane (Japan) (Beta) [b].zip | Japan | 1.4 MB
Hagane (Japan).zip | Japan | 1.2 MB
Hagane - The Final Conflict (Europe).zip | Europe | 1.2 MB
Hagane - The Final Conflict (USA).zip | USA | 1.2 MB
Haisei Mahjong - Ryouga (Japan).zip | Japan | 462 KB
Hakunetsu Pro Yakyuu '93 - Ganba League (Japan) (Beta).zip | Japan | 592 KB
Hakunetsu Pro Yakyuu '93 - Ganba League (Japan).zip | Japan | 591 KB
Hakunetsu Pro Yakyuu '94 - Ganba League 3 (Japan) (Beta).zip | Japan | 530 KB
Hakunetsu Pro Yakyuu '94 - Ganba League 3 (Japan).zip | Japan | 556 KB
Hakunetsu Pro Yakyuu - Ganba League (Japan) (Rev 1).zip | Japan | 511 KB
Hakunetsu Pro Yakyuu - Ganba League (Japan).zip | Japan | 511 KB
Hameln no Violin Hiki (Japan).zip | Japan | 763 KB
Hammer Lock Wrestling (USA) (Beta).zip | USA | 1.1 MB
Hammer Lock Wrestling (USA).zip | USA | 1.1 MB
Hanafuda Ou (Japan).zip | Japan | 268 KB
Hana no Keiji - Kumo no Kanata ni (Japan).zip | Japan | 1.2 MB
Hanguk Pro Yagu (Korea).zip | Korea | 541 KB
Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! (Japan).zip | Japan | 620 KB
Hansei Zaru Jiro-kun no Daibouken (Japan).zip | Japan | 248 KB
Haou Taikei Ryuu Knight - Lord of Paladin (Japan) (Beta).zip | Japan | 999 KB
Haou Taikei Ryuu Knight - Lord of Paladin (Japan) (Rev 1).zip | Japan | 997 KB
Haou Taikei Ryuu Knight - Lord of Paladin (Japan).zip | Japan | 997 KB
Harapeko Bakka (Japan).zip | Japan | 122 KB
HardBall III (USA).zip | USA | 947 KB
Harley's Humongous Adventure (Europe).zip | Europe | 334 KB
Harley's Humongous Adventure (USA) (Beta).zip | USA | 334 KB
Harley's Humongous Adventure (USA).zip | USA | 334 KB
Harvest Moon (Europe).zip | Europe | 905 KB
Harvest Moon (Germany).zip | Germany | 908 KB
Harvest Moon (USA) (Beta).zip | USA | 905 KB
Harvest Moon (USA).zip | USA | 905 KB
Hashire Hebereke (Japan).zip | Japan | 819 KB
Hat Trick Hero (Japan) (En).zip | Japan | 241 KB
Hat Trick Hero 2 (Japan).zip | Japan | 595 KB
Hatayama Hatch no Pro Yakyuu News! - Jitsumei Ban (Japan).zip | Japan | 587 KB
Havoc (USA) (Demo).zip | USA | 249 KB
Hayazashi Nidan Morita Shougi (Japan).zip | Japan | 245 KB
Hayazashi Nidan Morita Shougi 2 (Japan).zip | Japan | 245 KB
Head-On Soccer (USA).zip | USA | 804 KB
Hebereke's Popoitto (Europe).zip | Europe | 310 KB
Hebereke's Popoon (Europe).zip | Europe | 564 KB
Hebereke no Oishii Puzzle wa Irimasenka (Japan).zip | Japan | 741 KB
Hebereke no Popoon (Japan) (Beta) (1993-11-03).zip | Japan | 565 KB
Hebereke no Popoon (Japan).zip | Japan | 565 KB
Heian Fuuunden (Japan).zip | Japan | 899 KB
Heisei Gunjin Shougi (Japan).zip | Japan | 241 KB
Heisei Inu Monogatari Bow - Pop'n Smash!! (Japan).zip | Japan | 346 KB
Heisei Shin Onigashima - Kouhen (Japan).zip | Japan | 1.7 MB
Heisei Shin Onigashima - Zenpen (Japan).zip | Japan | 1.7 MB
Heiwa Pachinko World (Japan).zip | Japan | 759 KB
Heiwa Pachinko World 2 (Japan).zip | Japan | 1.1 MB
Heiwa Pachinko World 3 (Japan).zip | Japan | 1.4 MB
Heiwa Parlor! Mini 8 - Pachinko Jikki Simulation Game (Japan).zip | Japan | 518 KB
Hello! Pac-Man (Japan).zip | Japan | 965 KB
Heracles no Eikou III - Kamigami no Chinmoku (Japan).zip | Japan | 668 KB
Heracles no Eikou IV - Kamigami kara no Okurimono (Japan) (Virtual Console).zip | Japan | 1.7 MB
Heracles no Eikou IV - Kamigami kara no Okurimono (Japan).zip | Japan | 1.7 MB
Hercules (USA) (Pirate).zip | USA | 516 KB
Hero Senki - Project Olympus (Japan).zip | Japan | 1.1 MB
Higashio Osamu Kanshuu Super Pro Yakyuu Stadium (Japan).zip | Japan | 313 KB
Hilda (World) (Aftermarket) (Unl).zip | World | 63 KB
Hind Strike (USA) (Aftermarket) (Unl).zip | USA | 358 KB
Hi no Ouji - Yamato Takeru (Japan).zip | Japan | 1.4 MB
Hiouden - Mamono-tachi to no Chikai (Japan).zip | Japan | 1016 KB
Hiryuu no Ken S - Golden Fighter (Japan).zip | Japan | 1.0 MB
Hiryuu no Ken S - Hyper Version (Japan).zip | Japan | 1.0 MB
Hissatsu Pachinko Collection (Japan).zip | Japan | 679 KB
Hissatsu Pachinko Collection 2 (Japan).zip | Japan | 1.3 MB
Hissatsu Pachinko Collection 3 (Japan).zip | Japan | 1.1 MB
Hissatsu Pachinko Collection 4 (Japan).zip | Japan | 902 KB
Hisshou 777 Fighter - Pachi-Slot Ryuuguu Densetsu (Japan).zip | Japan | 396 KB
Hisshou 777 Fighter II - Pachi-Slot Maruhi Jouhou (Japan).zip | Japan | 378 KB
Hisshou 777 Fighter III - Kokuryuu Ou no Fukkatsu (Japan).zip | Japan | 716 KB
Hisshou Pachi-Slot Fun (Japan).zip | Japan | 462 KB
Hit the Ice - VHL - The Official Video Hockey League (USA).zip | USA | 260 KB
Hokuto no Ken 5 - Tenma Ryuuseiden Ai Zetsu Shou (Japan).zip | Japan | 556 KB
Hokuto no Ken 6 - Gekitou Denshouken Haou e no Michi (Japan).zip | Japan | 729 KB
Hokuto no Ken 7 - Seiken Retsuden Denshousha e no Michi (Japan).zip | Japan | 1.6 MB
Holy Striker (Japan).zip | Japan | 403 KB
Holy Umbrella - Dondera no Mubou!! (Japan).zip | Japan | 1.6 MB
Home Alone (Europe).zip | Europe | 266 KB
Home Alone (Japan).zip | Japan | 267 KB
Home Alone (USA).zip | USA | 266 KB
Home Alone 2 - Lost in New York (Europe).zip | Europe | 322 KB
Home Alone 2 - Lost in New York (USA).zip | USA | 322 KB
Home Improvement - Power Tool Pursuit! (USA).zip | USA | 793 KB
Hong Kong '97 (Japan) (En,Ja,Zh-Hant) (CM) (Unl).zip | Japan | 382 KB
Hong Kong '97 (Japan) (En,Ja,Zh-Hant) (Unl).zip | Japan | 259 KB
Honkaku Mahjong - Tetsuman (Japan).zip | Japan | 305 KB
Honkaku Mahjong - Tetsuman II (Japan).zip | Japan | 337 KB
Honkaku Shougi - Fuuunji Ryuuou (Japan).zip | Japan | 645 KB
Honkakuha Igo - Gosei (Japan).zip | Japan | 559 KB
Honke Hanafuda (Japan).zip | Japan | 574 KB
Honke Sankyo Fever - Jikki Simulation (Japan).zip | Japan | 849 KB
Honke Sankyo Fever 2 - Jikki Simulation (Japan).zip | Japan | 773 KB
Honke Sankyo Fever 3 - Jikki Simulation (Japan).zip | Japan | 477 KB
Honoo no Toukyuuji - Dodge Danpei (Japan) (Sample).zip | Japan | 595 KB
Honoo no Toukyuuji - Dodge Danpei (Japan).zip | Japan | 607 KB
Hook (Europe).zip | Europe | 483 KB
Hook (Japan).zip | Japan | 540 KB
Hook (USA) (Beta).zip | USA | 481 KB
Hook (USA).zip | USA | 483 KB
Horizontal Shooter (World) (Demo) (Aftermarket) (Unl).zip | World | 15 KB
Horizontal Shooter (World) (v1.1) (Demo) (Aftermarket) (Unl).zip | World | 19 KB
Hoshi no Kirby 3 (Japan).zip | Japan | 2.1 MB
Hoshi no Kirby Super Deluxe (Japan) (Rev 1).zip | Japan | 2.7 MB
Hoshi no Kirby Super Deluxe (Japan) (Rev 2).zip | Japan | 2.7 MB
Hoshi no Kirby Super Deluxe (Japan).zip | Japan | 2.7 MB
Houkago in Beppin Jogakuin (Japan).zip | Japan | 1.3 MB
Hourai Gakuen no Bouken! - Tenkousei Scramble (Japan).zip | Japan | 1.4 MB
Human Baseball (Japan).zip | Japan | 589 KB
Human Grand Prix (Japan) (En).zip | Japan | 572 KB
Human Grand Prix 2 (Japan) (Beta).zip | Japan | 654 KB
Human Grand Prix II (Japan) (En).zip | Japan | 668 KB
Human Grand Prix III - F1 Triple Battle (Japan) (En).zip | Japan | 1.3 MB
Human Grand Prix IV - F1 Dream Battle (Japan) (En).zip | Japan | 1.2 MB
Humans, The (Europe).zip | Europe | 805 KB
Humans, The (Germany).zip | Germany | 805 KB
Humans, The (World) (QUByte Classics).zip | World | 805 KB
Hungry Dinosaurs (Europe).zip | Europe | 121 KB
Hunt for Red October, The (Europe) (Beta).zip | Europe | 360 KB
Hunt for Red October, The (Europe).zip | Europe | 360 KB
Hunt for Red October, The (USA).zip | USA | 360 KB
Hurricanes (Europe) (Beta).zip | Europe | 667 KB
Hurricanes (Europe).zip | Europe | 667 KB
Hurricanes (USA).zip | USA | 667 KB
Hyper Iria (Japan) (Sample) (1995-07-03).zip | Japan | 767 KB
Hyper Iria (Japan).zip | Japan | 773 KB
Hyper V-Ball (Europe) (Beta).zip | Europe | 581 KB
Hyper V-Ball (Europe).zip | Europe | 576 KB
Hyper V-Ball (USA).zip | USA | 583 KB
HyperZone (Europe).zip | Europe | 314 KB
HyperZone (Japan) (En).zip | Japan | 409 KB
HyperZone (USA).zip | USA | 331 KB
Idea no Hi (Japan).zip | Japan | 1.3 MB
Ignition Factor, The (USA) (Beta).zip | USA | 619 KB
Ignition Factor, The (USA).zip | USA | 619 KB
Igo Club (Japan) (Rev 2).zip | Japan | 299 KB
Igo Club (Japan).zip | Japan | 319 KB
Ihatovo Monogatari (Japan).zip | Japan | 630 KB
Ikari no Yousai (Japan).zip | Japan | 517 KB
Illusion of Gaia (USA) (Beta 1).zip | USA | 1.6 MB
Illusion of Gaia (USA) (Beta 2).zip | USA | 1.6 MB
Illusion of Gaia (USA).zip | USA | 1.6 MB
Illusion of Time (Europe).zip | Europe | 1.6 MB
Illusion of Time (France).zip | France | 1.6 MB
Illusion of Time (Germany) (Rev 1).zip | Germany | 1.6 MB
Illusion of Time (Germany).zip | Germany | 1.6 MB
Illusion of Time (Spain).zip | Spain | 1.6 MB
Illvanian no Shiro (Japan) (Beta) (1994-08-23).zip | Japan | 1.5 MB
Illvanian no Shiro (Japan).zip | Japan | 1.5 MB
Imperium (USA) (Beta).zip | USA | 515 KB
Imperium (USA).zip | USA | 535 KB
Inazuma Serve da! Super Beach Volley (Japan) (En).zip | Japan | 456 KB
Incantation (Europe).zip | Europe | 397 KB
Incantation (USA).zip | USA | 397 KB
Incognity - A Rover Story (World) (v0.9.0) (Aftermarket) (Unl).zip | World | 242 KB
Incognity - A Rover Story (World) (v0.9.1) (Aftermarket) (Unl).zip | World | 242 KB
Incredible Crash Dummies, The (Europe).zip | Europe | 738 KB
Incredible Crash Dummies, The (USA) (Beta).zip | USA | 736 KB
Incredible Crash Dummies, The (USA).zip | USA | 738 KB
Incredible Hulk, The (Europe).zip | Europe | 976 KB
Incredible Hulk, The (USA) (Beta).zip | USA | 1.1 MB
Incredible Hulk, The (USA).zip | USA | 976 KB
Indiana Jones' Greatest Adventures (Europe).zip | Europe | 1.6 MB
Indiana Jones' Greatest Adventures (Japan).zip | Japan | 1.6 MB
Indiana Jones' Greatest Adventures (USA).zip | USA | 1.6 MB
Inindo - Way of the Ninja (USA).zip | USA | 560 KB
Inspector Gadget (USA).zip | USA | 475 KB
International Sensible Soccer - World Champions (Europe) (En,Fr,De,It) (Rev 1).zip | Europe | 231 KB
International Superstar Soccer (Europe).zip | Europe | 680 KB
International Superstar Soccer (USA).zip | USA | 680 KB
International Superstar Soccer Deluxe (Europe) (Beta).zip | Europe | 1.4 MB
International Superstar Soccer Deluxe (Europe).zip | Europe | 1.4 MB
International Superstar Soccer Deluxe (USA).zip | USA | 1.4 MB
International Tennis Tour (Europe).zip | Europe | 722 KB
International Tennis Tour (Japan) (En).zip | Japan | 721 KB
International Tennis Tour (USA).zip | USA | 720 KB
Ippatsu Gyakuten (Japan).zip | Japan | 497 KB
Irem Skins Game, The (USA) (Arcade).zip | USA | 468 KB
Irem Skins Game, The (USA).zip | USA | 465 KB
Iron Commando (Europe) (Proto).zip | Europe | 952 KB
Iron Commando (World) (2016-07-13) (Steam) (NTSC).zip | World | 956 KB
Iron Commando (World) (2022-02-21) (Steam) (NTSC).zip | World | 956 KB
Iron Commando (World) (Piko Interactive).zip | World | 956 KB
Iron Commando (World) (QUByte Classics).zip | World | 956 KB
Iron Commando - Koutetsu no Senshi (Japan).zip | Japan | 964 KB
Isozuri - Ritou Hen (Japan).zip | Japan | 1.7 MB
Itadaki Street 2 - Neon Sign wa Barairo ni (Japan) (Beta) (1993-12-20).zip | Japan | 970 KB
Itadaki Street 2 - Neon Sign wa Barairo ni (Japan).zip | Japan | 970 KB
Itchy & Scratchy Game, The (Europe).zip | Europe | 587 KB
Itchy & Scratchy Game, The (USA).zip | USA | 587 KB
Itoi Shigesato no Bass Tsuri No. 1 (Japan).zip | Japan | 2.4 MB
Itou Hatasu Rokudan no Shougi Doujou (Japan) (Rev 1).zip | Japan | 653 KB
Itou Hatasu Rokudan no Shougi Doujou (Japan).zip | Japan | 629 KB
Izzy's Quest for the Olympic Rings (Europe).zip | Europe | 1.0 MB
Izzy's Quest for the Olympic Rings (USA) (Beta).zip | USA | 1.0 MB
Izzy's Quest for the Olympic Rings (USA).zip | USA | 1.0 MB
J.League '96 Dream Stadium (Japan).zip | Japan | 1.2 MB
J.League Excite Stage '94 (Japan) (Rev 1).zip | Japan | 768 KB
J.League Excite Stage '94 (Japan).zip | Japan | 744 KB
J.League Excite Stage '95 (Japan) (Demo).zip | Japan | 745 KB
J.League Excite Stage '95 (Japan).zip | Japan | 653 KB
J.League Excite Stage '96 (Japan) (Rev 1).zip | Japan | 1.0 MB
J.League Excite Stage '96 (Japan).zip | Japan | 1.0 MB
J.League Soccer - Prime Goal (Japan) (Rev 1).zip | Japan | 511 KB
J.League Soccer - Prime Goal (Japan).zip | Japan | 511 KB
J.League Soccer - Prime Goal 2 (Japan).zip | Japan | 825 KB
J.League Soccer - Prime Goal 3 (Japan).zip | Japan | 1.1 MB
J.League Super Soccer '95 - Jikkyou Stadium (Japan).zip | Japan | 1.1 MB
J.League Super Soccer (Japan).zip | Japan | 853 KB
J.R.R. Tolkien's The Lord of the Rings - Volume 1 (USA).zip | USA | 739 KB
J.R.R. Tolkien's The Lord of the Rings - Volume One (Europe).zip | Europe | 740 KB
J.R.R. Tolkien's The Lord of the Rings - Volume One (Germany).zip | Germany | 740 KB
JB The Super Bass (Japan).zip | Japan | 1.4 MB
JRA PAT (Japan) (TJAJ).zip | Japan | 342 KB
JRA PAT (Japan) (TJBJ).zip | Japan | 342 KB
JRA PAT (Japan) (TJCJ).zip | Japan | 343 KB
JRA PAT - Wide Taiouban (Japan) (TJDJ).zip | Japan | 335 KB
JRA PAT - Wide Taiouban (Japan) (TJEJ).zip | Japan | 335 KB
JWP Joshi Pro Wres - Pure Wrestle Queens (Japan).zip | Japan | 1.2 MB
Jack Nicklaus Golf (Europe).zip | Europe | 331 KB
Jack Nicklaus Golf (France).zip | France | 327 KB
Jack Nicklaus Golf (USA).zip | USA | 331 KB
Jaleco Rally Big Run - The Supreme 4WD Challenge (Japan) (En) (Rev 1).zip | Japan | 388 KB
Jaleco Rally Big Run - The Supreme 4WD Challenge (Japan) (En).zip | Japan | 388 KB
James Bond Jr (Europe).zip | Europe | 353 KB
James Bond Jr (USA).zip | USA | 353 KB
James Pond's Crazy Sports (Europe).zip | Europe | 241 KB
Jammes (Japan).zip | Japan | 172 KB
Janyuuki - Gokuu Randa (Japan).zip | Japan | 518 KB
Jeff's Shoot'Em Up (USA) (Proto).zip | USA | 98 KB
Jelly Boy (Europe) (Beta 1).zip | Europe | 772 KB
Jelly Boy (Europe) (Beta 2).zip | Europe | 683 KB
Jelly Boy (Europe).zip | Europe | 683 KB
Jelly Boy 2 (Japan) (Proto).zip | Japan | 1.0 MB
Jeopardy! (USA).zip | USA | 346 KB
Jeopardy! - Deluxe Edition (USA).zip | USA | 246 KB
Jeopardy! - Sports Edition (USA).zip | USA | 231 KB
Jerry Boy (Japan).zip | Japan | 359 KB
Jet Pilot Rising (World) (De) (Aftermarket) (Unl).zip | World | 450 KB
Jet Pilot Rising (World) (De) (v1.1) (Aftermarket) (Unl).zip | World | 382 KB
Jetsons, The - Invasion of the Planet Pirates (USA).zip | USA | 608 KB
Jigsaw Party (Japan) (Beta) (1994-03-25).zip | Japan | 759 KB
Jigsaw Party (Japan).zip | Japan | 759 KB
Jikkyou Oshaberi Parodius (Japan).zip | Japan | 2.5 MB
Jikkyou Power Pro Wrestling '96 - Max Voltage (Japan).zip | Japan | 3.1 MB
Jikkyou Powerful Pro Yakyuu '94 (Japan).zip | Japan | 1.6 MB
Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan) (Rev 1).zip | Japan | 2.4 MB
Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan).zip | Japan | 2.4 MB
Jikkyou Powerful Pro Yakyuu - Basic Ban '98 (Japan).zip | Japan | 2.3 MB
Jikkyou Powerful Pro Yakyuu 2 (Japan) (Rev 1).zip | Japan | 2.0 MB
Jikkyou Powerful Pro Yakyuu 2 (Japan) (Rev 2).zip | Japan | 2.0 MB
Jikkyou Powerful Pro Yakyuu 2 (Japan).zip | Japan | 2.0 MB
Jikkyou Powerful Pro Yakyuu 3 (Japan) (Rev 1).zip | Japan | 2.4 MB
Jikkyou Powerful Pro Yakyuu 3 (Japan).zip | Japan | 2.4 MB
Jikkyou Powerful Pro Yakyuu 3 - '97 Haru (Japan) (Rev 1).zip | Japan | 2.4 MB
Jikkyou Powerful Pro Yakyuu 3 - '97 Haru (Japan).zip | Japan | 2.4 MB
Jikkyou World Soccer - Perfect Eleven (Japan) (Rev 1).zip | Japan | 1.6 MB
Jikkyou World Soccer - Perfect Eleven (Japan).zip | Japan | 1.6 MB
Jikkyou World Soccer 2 - Fighting Eleven (Japan) (Beta).zip | Japan | 1.8 MB
Jikkyou World Soccer 2 - Fighting Eleven (Japan) (Rev 1) (NP).zip | Japan | 2.4 MB
Jikkyou World Soccer 2 - Fighting Eleven (Japan).zip | Japan | 2.4 MB
Jim Lee's WildC.A.T.S - Covert-Action-Teams (USA).zip | USA | 1.3 MB
Jim Power - The Lost Dimension in 3D (Europe) (Proto).zip | Europe | 675 KB
Jim Power - The Lost Dimension in 3D (USA).zip | USA | 676 KB
Jim Power - The Lost Dimension in 3D (World) (Piko Interactive) (Enhanced).zip | World | 918 KB
Jim Power - The Lost Dimension in 3D (World) (Piko Interactive).zip | World | 676 KB
